3.2b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206020_selected_analytical_series/$FILE/5206020_selected_analytical_series.xls,5206020_selected_analytical_series,A2302589X
3.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206020_selected_analytical_series/$FILE/5206020_selected_analytical_series.xls,5206020_selected_analytical_series,A2302604K
3.3b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206020_selected_analytical_series/$FILE/5206020_selected_analytical_series.xls,5206020_selected_analytical_series,A2302605L
6.5a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5302030/$FILE/5302030.xls,5302030.xls,A3374943R
6.5b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5302030/$FILE/5302030.xls,5302030.xls,A3374935R
6.5c,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5302030/$FILE/5302030.xls,5302030.xls,A3374963X
6.5d,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5302030/$FILE/5302030.xls,5302030.xls,A3374925K
6.2a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/530205/$FILE/530205.xls,530205.xls,A3535187L
6.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/530206/$FILE/530206.xls,530206.xls,A3535540R
6.3b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/530206/$FILE/530206.xls,530206.xls,A3535541T
6.3c,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/530206/$FILE/530206.xls,530206.xls,A3534885C
6.1a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/536801/$FILE/536801.xls,536801.xls,A2718579F
6.1b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/536801/$FILE/536801.xls,536801.xls,A2718582V
5.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5609011/$FILE/5609011.xls,5609011.xls,A2413066R
1.1a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202002/$FILE/6202002.xls,6202002.xls,A181515V
1.2a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202002/$FILE/6202002.xls,6202002.xls,A181518A
1.2b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202002/$FILE/6202002.xls,6202002.xls,A181525X
1.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202002/$FILE/6202002.xls,6202002.xls,A181521R
1.3b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202002/$FILE/6202002.xls,6202002.xls,A181524W
1.1b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202003/$FILE/6202003.xls,6202003.xls,A163163R
1.5a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202017/$FILE/6202017.xls,6202017.xls,A2426058F
1.5b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202017/$FILE/6202017.xls,6202017.xls,A2426064A
1.9a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202022/$FILE/6202022.xls,6202022.xls,A3345825K
1.9b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202022/$FILE/6202022.xls,6202022.xls,A3345835R
1.9c,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6202022/$FILE/6202022.xls,6202022.xls,A3345836T
2.1a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6302003/$FILE/6302003.xls,6302003.xls,A2734023X
2.2a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/6302003/$FILE/6302003.xls,6302003.xls,A2734030W
2.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/634501/$FILE/634501.xls,634501.xls,A2713849C
2.4a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/640101/$FILE/640101.xls,640101.xls,A2325846C
2.4b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/640101/$FILE/640101.xls,640101.xls,A2325850V
2.4c,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/640101/$FILE/640101.xls,640101.xls,A2325847F
4.1a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/850103/$FILE/850103.xls,850103.xls,A3348585R
4.3a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/8731006/$FILE/8731006.xls,8731006.xls,A422070J
4.2a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/931401/$FILE/931401.xls,931401.xls,A367305C
2.1b,http://www.rba.gov.au/statistics/tables/xls/f01hist.xls,f01hist.xls,FIRMMCRI
2.1d,http://www.rba.gov.au/statistics/tables/xls-hist/f11hist.xls,f11hist.xls,FXRTWI
2.2b,http://www.rba.gov.au/statistics/tables/xls-hist/f11hist.xls,f11hist.xls,FXRUSD
3.4a,http://www.rba.gov.au/statistics/tables/xls/e02hist.xls,e02hist.xls,BHFDDIT
3.4b,http://www.rba.gov.au/statistics/tables/xls/e02hist.xls,e02hist.xls,BHFIPDT
6.2c,http://www.rba.gov.au/statistics/tables/xls/f05hist.xls,f05hist.xls,FILRLBWAV
6.2d,http://www.rba.gov.au/statistics/tables/xls/f05hist.xls,f05hist.xls,FILRSBVWA
6.5e,http://www.rba.gov.au/statistics/tables/xls/f05hist.xls,f05hist.xls,FILRHLBVS
